DATE,VI,LM,SI,N
2017-03-30 04:00:00,4.284005077215993,7.0,4.751600397042322,2.0
2017-03-30 05:00:00,4.40242013962344,7.0,4.504093060390713,1.7
2017-03-30 06:00:00,3.6796268246244974,6.8,4.961363178640274,1.8
2017-03-30 07:00:00,3.3117165221070453,6.7,5.180809261443739,1.5
2017-03-30 08:00:00,4.758613920033848,6.9,5.221903861092731,1.3
2017-03-30 09:00:00,6.697741485085679,7.3,5.833464481974853,2.4
2017-03-30 10:00:00,8.387797757562936,8.5,7.185331372097707,4.6
2017-03-30 11:00:00,9.99401057753332,8.9,8.866210403659695,5.7
2017-03-30 12:00:00,11.227372117622169,9.5,9.830159751992404,7.4
2017-03-30 13:00:00,11.499437275227418,9.8,9.88375471128118,7.3
2017-03-30 14:00:00,11.510367675058177,10.3,10.283917268463906,9.9
2017-03-30 15:00:00,12.110992172625346,10.5,10.74219689558938,9.6
2017-03-30 16:00:00,11.878054580071929,11.2,11.095536510630954,9.0
2017-03-30 17:00:00,11.738703617516393,11.1,11.252910564778318,9.2
2017-03-30 18:00:00,11.254212819970384,10.0,10.753861452369305,9.8
2017-03-30 19:00:00,10.04525576475566,8.8,10.417022470293752,7.6
2017-03-30 20:00:00,8.97587306960017,8.2,9.14865494720488,6.4
2017-03-30 21:00:00,7.208587264649884,7.0,8.824327473602441,4.8
2017-03-30 22:00:00,7.164742119737678,6.1,6.958383563023276,3.2
2017-03-30 23:00:00,6.992538184895282,6.6,5.0353662571568325,0.8
2017-03-31 00:00:00,6.234286439602285,5.6,2.635065598296745,1.4
2017-03-31 01:00:00,5.444006769621325,5.0,2.3526552205311164,1.0
2017-03-31 02:00:00,5.5929003596361335,4.8,1.3945967718732917,0.8
2017-03-31 03:00:00,4.984991749524012,4.5,-0.3545213913743994,1.3
2017-03-31 04:00:00,4.514822932092236,4.8,-0.09741383030756397,1.2
2017-03-31 05:00:00,3.91214046964248,4.9,-0.18307031677072244,2.0
2017-03-31 06:00:00,3.678778929553628,5.1,-0.7654562390309866,2.3
2017-03-31 07:00:00,3.36050264438333,4.8,-1.0806467042610122,2.3
2017-03-31 08:00:00,5.439427966998097,6.6,0.5787805334177287,3.3
2017-03-31 09:00:00,6.922932092236091,7.7,3.611919901027132,1.4
2017-03-31 10:00:00,7.505364924899514,8.0,6.124790689645254,0.5
2017-03-31 11:00:00,9.284714195049713,8.9,8.262835903558996,2.2
2017-03-31 12:00:00,9.926747620055004,9.4,9.577341974278562,4.5
2017-03-31 13:00:00,9.895929765178762,10.1,11.001994562246454,4.7
2017-03-31 14:00:00,9.970677385233762,10.3,12.504614897718445,5.7
2017-03-31 15:00:00,9.793871800296172,11.1,13.427110366257155,5.8
2017-03-31 16:00:00,9.132374867780834,11.1,14.084705598872171,5.9
2017-03-31 17:00:00,9.279773217685637,10.7,13.748433768737232,6.3
2017-03-31 18:00:00,9.331750370213664,10.8,13.054950441637654,5.9
2017-03-31 19:00:00,8.866723080177703,10.7,11.954324668412115,4.8
2017-03-31 20:00:00,8.436891897609478,9.3,10.065677417498632,3.9
2017-03-31 21:00:00,8.39796488258938,8.7,9.142138274304457,4.0
2017-03-31 22:00:00,8.259037867569281,8.3,8.303792401530629,5.3
2017-03-31 23:00:00,7.913474085043367,9.1,8.29285755387404,5.4
2017-04-01 00:00:00,7.480536492489951,8.0,8.161850850188449,5.6
2017-04-01 01:00:00,7.5,7.6,7.826588528929426,5.3
2017-04-01 02:00:00,7.490480220012692,7.2,7.857595232615013,4.2
2017-04-01 03:00:00,7.3095197799873075,7.1,7.52432747360244,3.7
2017-04-01 04:00:00,7.07743008250476,7.0,8.373804916995137,3.5
2017-04-01 05:00:00,7.119039559974612,6.6,7.479011422159566,3.2
2017-04-01 06:00:00,7.000423947535435,6.5,7.319317691400293,2.7
2017-04-01 07:00:00,6.967062407446584,6.5,6.587163377161435,2.9
2017-04-01 08:00:00,6.913474085043367,6.6,6.493680050061858,4.0
2017-04-01 09:00:00,7.435620055003174,6.8,7.158939566130563,4.3
2017-04-01 10:00:00,7.692738734927015,7.3,7.9741300313605885,5.3
2017-04-01 11:00:00,8.171779987306959,8.0,9.288995382225163,7.9
2017-04-01 12:00:00,9.06579056484028,8.9,11.119155134217568,8.5
2017-04-01 13:00:00,9.7654512375714,9.3,13.074130031360587,9.1
2017-04-01 14:00:00,10.75677935265496,10.1,14.961885015968008,9.5
2017-04-01 15:00:00,10.688869050137509,9.8,14.792404048105421,8.4
2017-04-01 16:00:00,10.680821662788237,10.3,14.915258796789136,4.3
2017-04-01 17:00:00,10.773760947746988,10.3,13.746590614840176,7.0
2017-04-01 18:00:00,11.062206050349056,10.2,12.445709497367435,6.9
2017-04-01 19:00:00,10.939150412523801,10.6,11.755368343067586,5.3
2017-04-01 20:00:00,9.04513983499048,10.4,10.237291049285037,4.8
2017-04-01 21:00:00,8.148670192511108,8.9,9.442068504186206,2.8
2017-04-01 22:00:00,8.133785487624285,8.4,7.390851842794257,2.1
2017-04-01 23:00:00,8.002543685212608,8.6,7.422321762522657,1.8
2017-04-02 00:00:00,7.2052261476623665,8.1,5.022854748683718,1.4
2017-04-02 01:00:00,6.180135392426486,7.9,5.061885015968008,0.5
2017-04-02 02:00:00,5.889030674846627,7.8,5.441546666858474,-0.8
2017-04-02 03:00:00,5.512671884916437,7.5,6.374651868688321,-0.4
2017-04-02 04:00:00,4.5828407023482125,7.0,7.0823273009753445,-0.4
2017-04-02 05:00:00,4.294618997249842,6.8,6.930297853669764,-1.7
2017-04-02 06:00:00,3.195582822085889,6.8,4.229893258911874,-2.9
2017-04-02 07:00:00,3.1270251745292996,6.3,3.808186120781426,-2.1
2017-04-02 08:00:00,5.869628940131163,7.3,4.406087622637166,-0.6
2017-04-02 09:00:00,7.386186587687751,7.8,5.904614897718445,1.0
2017-04-02 10:00:00,8.104578802623228,8.3,7.70929956555514,2.8
2017-04-02 11:00:00,9.738163740215784,8.8,8.959589794861467,3.7
2017-04-02 12:00:00,10.19592976517876,9.2,9.120918807722184,3.3
2017-04-02 13:00:00,10.243328115083562,9.8,9.36530483068159,4.5
2017-04-02 14:00:00,9.773984345250687,9.0,9.70256171418707,4.8
2017-04-02 15:00:00,9.250705309921726,10.2,7.840606928100812,5.8
2017-04-02 16:00:00,8.939890839856147,10.2,7.477341974278562,6.1
2017-04-02 17:00:00,8.737431774910092,9.8,5.494400048911011,6.0
2017-04-02 18:00:00,8.64610365982653,9.4,6.609787237103318,5.9
2017-04-02 19:00:00,8.034749312460335,8.8,5.117614077739736,5.3
2017-04-02 20:00:00,7.1177677173683085,7.9,4.226913643294877,3.7
2017-04-02 21:00:00,5.6198028347789295,7.9,2.322658025721437,-0.4
2017-04-02 22:00:00,5.998103659826528,7.3,1.2319575912765774,-0.4
2017-04-02 23:00:00,4.803869684789507,5.7,0.9396804960151912,0.2
2017-04-03 00:00:00,3.0669777871800297,5.4,0.8097872371033172,1.8
2017-04-03 01:00:00,3.164719272265708,5.2,0.08014932243864542,2.2
2017-04-03 02:00:00,2.118508144700656,3.0,-0.0473900940817677,0.7
2017-04-03 03:00:00,2.4630463295959384,2.0,-0.3278400753804989,0.9
2017-04-03 04:00:00,1.7831571821451235,3.0,-0.721323402480076,-1.3
2017-04-03 05:00:00,1.7105292997672938,3.5,-1.348074488592226,-1.4
2017-04-03 06:00:00,0.6313805796488259,4.2,-1.1566896596369078,-1.1
2017-04-03 07:00:00,1.0840050772159933,4.5,-1.8513205972897544,-1.1
2017-04-03 08:00:00,2.8503042098582614,4.8,0.4608657968179071,-0.8
2017-04-03 09:00:00,4.745340385022213,5.8,2.8574326754322867,1.2
2017-04-03 10:00:00,6.746612227628517,6.7,5.120071856029002,2.3
2017-04-03 11:00:00,7.915593822720544,7.5,6.853014500676122,3.3
2017-04-03 12:00:00,8.402967632748043,7.6,8.681922706217453,4.8
2017-04-03 13:00:00,8.795482970171355,8.1,9.619805362948467,4.9
2017-04-03 14:00:00,9.786610535223186,8.8,10.764633742843168,5.7
2017-04-03 15:00:00,9.83794034271208,8.7,10.83915865868746,6.1
2017-04-03 16:00:00,10.014522530145973,9.2,11.580971818626466,7.0
2017-04-03 17:00:00,10.276019462661306,9.7,11.500162557182724,7.4
2017-04-03 18:00:00,10.316781045060289,9.7,11.18113437580919,7.4
2017-04-03 19:00:00,9.619887455045484,9.5,9.140202333342923,5.8
2017-04-03 20:00:00,7.06494266976941,7.3,5.851821575509969,4.1
2017-04-03 21:00:00,5.3943499048021994,6.0,4.997797565957937,2.8
2017-04-03 22:00:00,4.748161624709118,6.7,2.5011720660586354,1.7
2017-04-03 23:00:00,4.938217897186376,4.6,1.0050684034870674,-1.2
2017-04-04 00:00:00,4.988923207108102,6.2,-0.1321884800184136,-3.2
2017-04-04 01:00:00,4.670307594668923,6.2,-0.150265773800961,-3.2
2017-04-04 02:00:00,4.574261899724983,5.5,-0.4582551716201053,-3.9
2017-04-04 03:00:00,4.848808969748255,5.2,-0.8194216272980983,-5.1
2017-04-04 04:00:00,4.9556462872858065,5.9,-0.9727612423396728,-5.4
2017-04-04 05:00:00,4.612341019674211,6.1,-1.8752190206289383,-5.4
2017-04-04 06:00:00,5.237370002115506,5.0,-1.7792779152400957,-4.5
2017-04-04 07:00:00,5.169883647133488,6.3,-1.7956159910233909,-5.2
2017-04-04 08:00:00,5.689347154643537,6.9,0.8092653997755848,-3.6
2017-04-04 09:00:00,6.606552147239264,7.7,2.5317950340938515,-0.2
2017-04-04 10:00:00,7.75090585995346,9.0,4.315816238455564,1.9
2017-04-04 11:00:00,9.068334250052887,10.2,5.707201067410883,5.0
2017-04-04 12:00:00,9.650142585149146,11.5,7.436897603360473,7.0
2017-04-04 13:00:00,10.476666807700443,10.1,8.777366429783926,8.8
2017-04-04 14:00:00,10.648531415273961,10.7,10.74998957044624,9.2
2017-04-04 15:00:00,11.131750370213666,12.3,12.33106532497051,11.0
2017-04-04 16:00:00,10.332174317749102,10.9,12.736631110279946,10.8
2017-04-04 17:00:00,11.571972075312035,9.4,12.215190465230027,10.5
